Accession	Description	Naive 1	Naive 2	Naive 3	Naive 4	Naive 5	Naive 6	Naive 7	Naive+PRC2i 1	Naive+PRC2i 2	Naive+PRC2i 3	Naive+PRC2i 4	Naive+PRC2i 5	Primed 1	Primed 2	Primed 3	Primed 4	Primed 5	Primed+PRC2i 1	Primed+PRC2i 2	Primed+PRC2i 3	Primed+PRC2i 4	Primed+PRC2i 5	Primed+PRC2i 6
H11_HUMAN	Histone H1.1 OS=Homo sapiens OX=9606 GN=H1-1 PE=1 SV=3	72729.53621	85897.29813	55303.76543	57058.93132	48824.3408	51366.08842	66638.86456	57206.30074	53374.22092	78637.11666	56929.13604	60820.02651	3468.690381	3055.402526	3607.331869	4713.857059	3473.106658	3904.717897	2444.505998	2275.250007	2373.108299	2479.304721	2572.865516
PGRC1_HUMAN	Membrane-associated progesterone receptor component 1 OS=Homo sapiens OX=9606 GN=PGRMC1 PE=1 SV=3	0	0	0	0	0	0	0	0	0	0	0	0	97.89159252	80.05709855	105.3318987	107.7564578	180.6684606	94.15941648	61.92117122	78.17966443	79.67364921	81.99299576	89.48762377
SPB9_HUMAN	Serpin B9 OS=Homo sapiens OX=9606 GN=SERPINB9 PE=1 SV=1	168.8178011	125.9402274	138.5417015	196.7534242	112.2040261	115.5030508	135.4460829	82.6619018	157.9087971	72.93057233	74.30887454	156.2989001	0	0	0	0	0	0	0	0	0	0	0
PPBN_HUMAN	"Alkaline phosphatase, germ cell type OS=Homo sapiens OX=9606 GN=ALPG PE=2 SV=4"	5680.199838	8897.797698	5510.320983	5644.5053	5910.580565	7318.672284	7401.347832	6670.472546	6894.404528	10731.12038	5249.090635	7345.510354	738.1365853	560.5420348	493.2573986	667.9149052	741.2257088	415.5403101	456.9645738	531.4939976	454.4329222	509.7505454	710.0735892
UTF1_HUMAN	Undifferentiated embryonic cell transcription factor 1 OS=Homo sapiens OX=9606 GN=UTF1 PE=1 SV=1	8829.15459	7485.617656	7706.853701	8548.558101	11136.63982	12543.61026	8828.709084	5503.363163	7666.403613	6944.390416	4518.197876	6934.378539	397.8525498	814.2233773	392.7313508	548.320028	404.4647539	643.6215721	348.4464078	395.7544704	433.4392998	365.0906142	608.4033542
ANXA2_HUMAN	Annexin A2 OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=2	15803.91993	12322.50149	8515.22519	10267.04062	14397.31997	12173.32705	11613.55186	8991.79429	10264.19316	12770.56891	4303.542069	13972.86165	715.9998708	674.1562862	650.2339918	617.7240917	575.4713287	724.1566177	1105.97811	476.9199317	887.9071883	854.9690941	898.335927
LORF1_HUMAN	LINE-1 retrotransposable element ORF1 protein OS=Homo sapiens OX=9606 GN=L1RE1 PE=1 SV=1	0	0	0	0	0	0	0	0	0	0	0	0	60.52289232	132.2909245	27.69119077	8.703037672	23.90450269	42.06896228	35.13452571	56.5828582	54.22315548	101.9341823	38.17070001
H2AY_HUMAN	Core histone macro-H2A.1 OS=Homo sapiens OX=9606 GN=MACROH2A1 PE=1 SV=4	922.0368769	1545.783251	1371.220132	1072.418158	2171.33231	2837.14713	1398.978511	1460.53951	1152.440274	658.6314907	766.0890689	752.8470893	14911.14348	14777.90253	11696.03182	18291.59987	10530.17058	13224.33435	14904.15206	11900.61312	10605.77197	15041.52114	16961.47551
H2AW_HUMAN	Core histone macro-H2A.2 OS=Homo sapiens OX=9606 GN=H2AFY2 PE=1 SV=3	611.440103	657.0921307	654.2600124	460.4199207	724.1026071	746.1257986	534.4491622	557.6647799	522.4863397	851.3350415	596.8371344	658.3516896	2392.575339	3683.654679	3176.530989	6072.094711	3024.025164	4976.645665	4657.574443	3786.712172	2977.943523	4855.817536	4668.167924
ALDH2_HUMAN	"Aldehyde dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ALDH2 PE=1 SV=2"	33.78078263	139.1270526	374.6199762	210.2452009	83.64502532	88.79011245	226.173207	87.31719882	108.8903104	11.23249774	268.5038619	77.59191728	0	0	0	0	0	0	0	0	0	0	0
HMGA2_HUMAN	High mobility group protein HMGI-C OS=Homo sapiens OX=9606 GN=HMGA2 PE=1 SV=1	1957.173927	1904.369463	1264.261209	1224.94027	1146.964787	1203.946734	1982.860667	1661.636869	1251.757513	3291.864682	954.9422633	1902.56838	15512.58812	15690.05953	10331.03697	29444.2203	17190.41594	18210.90251	17062.7211	17398.99644	15188.47461	13087.02361	15217.09763
ODPA_HUMAN	"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial OS=Homo sapiens OX=9606 GN=PDHA1 PE=1 SV=3"	1840.803199	3345.034743	2598.956461	2144.208273	1903.124249	2302.908616	2220.573608	1570.882485	2099.608343	2475.090784	1921.690077	2118.328656	540.2277832	374.0585664	291.1961905	629.7011161	362.9964188	394.5911682	404.99261	470.3376196	266.5681441	293.3332721	464.9401424
