Accession	naive_primed	naive_naive2i	primed_primed2i
H11_HUMAN	2.00E-06	0.873923233	0.026451711
PGRC1_HUMAN	1.19E-05	NA	0.071671118
SPB9_HUMAN	1.30E-06	0.154604005	NA
PPBN_HUMAN	1.25E-06	0.445725551	0.082176627
UTF1_HUMAN	1.12E-06	0.011479548	0.635506641
ANXA2_HUMAN	1.08E-06	0.266451139	0.100359455
LORF1_HUMAN	0.019900577	NA	0.862797736
H2AY_HUMAN	9.09E-07	0.072693789	0.871748618
H2AW_HUMAN	0.0001813	0.877877392	0.358552747
ALDH2_HUMAN	0.010273037	0.408760306	NA
HMGA2_HUMAN	0.000113129	0.468820935	0.603834854
ODPA_HUMAN	1.21E-05	0.279997601	0.425175624
AP2A_HUMAN;AP2C_HUMAN	2.32E-09	0.244732428	0.474609826
DNM3L_HUMAN	0.000667521	0.109810008	0.193503754
LMNA_HUMAN	3.94E-07	0.272969605	0.668229357
SOX15_HUMAN	1.71E-09	0.003767877	0.032515988
MTDC_HUMAN	2.99E-05	0.031302529	0.150165525
PRDX1_HUMAN	0.000176494	0.43078882	0.017385382
CHP1_HUMAN	5.97E-06	0.018583123	0.869510832
ODPB_HUMAN	7.27E-05	0.199252266	0.445972522
ANXA1_HUMAN	0.003375823	0.366113429	0.076034338
PNPT1_HUMAN	0.000441711	0.30527408	0.634414349
ACON_HUMAN	0.000467287	0.176393365	0.328490302
PARP1_HUMAN	2.99E-07	0.862309938	0.42058451
S39A6_HUMAN	1.53E-05	0.254981145	0.955736834
HMGN1_HUMAN	5.02E-06	0.0035792	0.287080251
QCR7_HUMAN	2.19E-05	0.485824042	0.39253199
TCF20_HUMAN	0.000340496	0.230366122	0.07874539
LN28B_HUMAN	9.04E-05	0.430979864	0.034541931
EPIPL_HUMAN	0.001880798	0.332532687	0.880912563
GARS_HUMAN	0.000231121	0.630099456	0.014950164
RT23_HUMAN	2.35E-05	0.013514248	0.94070361
KHDCL_HUMAN	1.22E-06	0.02756041	0.046438475
GRP75_HUMAN	0.000110188	0.519325169	0.336616785
ADT2_HUMAN;ADT1_HUMAN	3.96E-05	0.606322112	0.701786103
ODP2_HUMAN	5.05E-05	0.077403626	0.126001716
OAT_HUMAN	0.000322039	0.010292417	0.50686022
ZIC5_HUMAN;ZIC1_HUMAN;ZIC2_HUMAN	8.57E-05	0.328959543	0.080063408
RM16_HUMAN	0.000834604	0.973243737	0.003371061
NSA2_HUMAN	4.52E-05	0.408047057	0.560240652
CEBPB_HUMAN	4.25E-05	0.432525388	0.60963222
CLPX_HUMAN	0.000324957	0.023759847	0.463641087
RM19_HUMAN	0.000343682	0.582954549	0.066693406
KRR1_HUMAN	0.000482113	0.008999384	0.014094338
RT05_HUMAN	6.69E-05	0.062249927	0.436321389
ODO2_HUMAN	1.78E-05	0.346775417	0.41996983
NDUS5_HUMAN	4.13E-05	0.24630388	0.032088741
IF2B1_HUMAN	1.52E-06	0.963369796	0.049219778
LONM_HUMAN	1.55E-05	0.201396557	0.534279397
EFTU_HUMAN	0.000203993	0.097816929	0.531444714
RMXL1_HUMAN	0.00015511	0.833849055	0.130927588
PSIP1_HUMAN	6.12E-06	0.239375299	0.018674013
TCEA1_HUMAN	4.48E-06	0.419879037	0.12831753
RS27A_HUMAN;RL40_HUMAN	0.000756889	0.817580851	0.380296642
RM15_HUMAN	0.000230516	0.073707154	0.392315706
CDCA5_HUMAN	1.63E-05	0.84983798	0.99616288
RM11_HUMAN	6.09E-05	0.03090021	0.022873867
HSPB1_HUMAN	0.000352218	0.157094858	0.029887402
NOP56_HUMAN	5.85E-06	0.616490854	0.077534438
RM17_HUMAN	0.000354607	0.049667899	0.54511075
TCOF_HUMAN	8.45E-05	0.029551776	0.24171671
TIM44_HUMAN	5.83E-05	0.286314756	0.037975132
GCSP_HUMAN	0.000894632	0.149499381	0.467214506
TIM8B_HUMAN	0.000724918	0.398450809	0.129741756
HCD2_HUMAN	0.004769817	0.182974001	0.251578085
NOP58_HUMAN	0.000157629	0.075191868	0.434354935
