Protein.IDs	Majority.protein.IDs	Protein.names	Gene.names	LFQ intensity Naive 1	LFQ intensity Naive 2	LFQ intensity Naive 3	LFQ intensity Naive+PRC2i 1	LFQ intensity Naive+PRC2i 2	LFQ intensity Naive+PRC2i 3	log2 fold change	p-value
A0A024QYV5;Q9H875;E9PC43;B4DQF4	A0A024QYV5;Q9H875	PRKR-interacting protein 1	PRKRIP1	25.22737	25.46504	25.65971	25.54763	25.42678	25.89236	-0.171555201	0.385591772
A0A024QYX3;P98179	A0A024QYX3;P98179	RNA-binding protein 3	RBM3	29.25068	29.64648	29.79792	29.17222	29.51356	29.38681	0.207497279	0.470134066
A0A024QYY4;O00512;Q1JQ81;B4DNX8	A0A024QYY4;O00512;Q1JQ81	B-cell CLL/lymphoma 9 protein	BCL9	26.78419	26.8375	27.00067	26.76231	26.90633	26.70477	0.082983653	0.396269782
A0A024QYZ6;O60645;D6RB59;Q69YP2;Q6ZNJ2;H0Y995;B2RE06;D6RBR9	A0A024QYZ6;O60645;D6RB59;Q69YP2	Exocyst complex component 3	EXOC3;DKFZp762K123	24.53141	22.27184	22.15837	23.61684	24.56744	23.00501	-0.742554983	0.342847798
A0A024QZ09;Q96G74;H7BZQ3;A0A087WXV6	A0A024QZ09;Q96G74;H7BZQ3;A0A087WXV6	OTU domain-containing protein 5	OTUD5	24.2988	24.90545	24.63423	24.4706	24.90311	24.43879	0.00865682	0.012395506
A0A024QZ59;Q9BUZ4;A0A024QZ19;B4DUU9;F6SA91;A0A0C4DFM9;Q2KJU5;J9JIG0;Q2KJU6;Q2KJU3;C9JJ10;K7ER49;K7EJG7;J3QS94	A0A024QZ59;Q9BUZ4;A0A024QZ19;B4DUU9;F6SA91	TNF receptor-associated factor 4	TRAF4	25.84933	25.67842	25.45782	25.66259	25.56157	25.74509	0.005444209	0.01440185
A0A024QZ64;B7Z3K9;P09972;B7Z1N6;B7Z1Y2;A8MVZ9;B7Z3K7;J3KSV6;J3QKP5;K7EKH5;C9J8F3;B7Z1Z9;J3QKK1;B7Z1H6;B7Z1L5	A0A024QZ64;B7Z3K9;P09972;B7Z1N6;B7Z1Y2;A8MVZ9;B7Z3K7;J3KSV6;J3QKP5;K7EKH5;C9J8F3;B7Z1Z9	Fructose-bisphosphate aldolase;Fructose-bisphosphate aldolase C	ALDOC	27.17474	26.87572	26.72676	26.84422	26.78669	26.84098	0.101781209	0.31259226
A0A024QZD1;J3QQ67;Q07020;G3V203;Q0QEW2;H0YHA7;F8VUA6;F8VYV2;B4DDY5;A0A075B7A0;F8VXR6	A0A024QZD1;J3QQ67;Q07020;G3V203;Q0QEW2;H0YHA7;F8VUA6;F8VYV2;B4DDY5;A0A075B7A0	60S ribosomal protein L18	RPL18	30.44283	30.75764	30.75517	30.64401	30.67472	30.67943	-0.0141716	0.046110659
A0A024QZD5;P08621;A8KAQ5;M0QYR1;B3KPV0;M0QX04;Q9UFS1	A0A024QZD5;P08621;A8KAQ5	U1 small nuclear ribonucleoprotein 70 kDa	SNRP70;SNRNP70	32.64594	32.42575	32.59237	32.55016	32.25161	32.57788	0.094804128	0.313187803
A0A024QZE2;A0A024QZD8;Q15562;H0YGS2;H0Y7B0;A0A0S2Z4F2;H0YCZ6;H0YG62	A0A024QZE2;A0A024QZD8;Q15562	Transcriptional enhancer factor TEF-4	TEAD2	23.35192	23.69869	23.22872	23.6058	23.55473	22.27063	0.282719294	0.243236044
A0A024QZF1;P37198;M0QXN5;M0QX10;M0QYY0;M0QX13;M0QZL5;M0R1S1;M0QX64;M0R302;Q8WYU3	A0A024QZF1;P37198;M0QXN5	Nuclear pore glycoprotein p62	hCG_19665;NUP62	29.79439	29.96898	29.9327	29.72676	30.00905	30.01305	-0.017601013	0.055917206
A0A024QZH6;Q9H7N4	A0A024QZH6;Q9H7N4	"Splicing factor, arginine/serine-rich 19"	SR-A1;SCAF1	27.28604	26.95638	27.39387	27.24236	27.06301	27.22821	0.03423055	0.084417203
A0A024QZI4;Q8IV63;M0QYA8;M0R073;B4DGW1;M0QYG0;B4E0U5;M0R3H2;M0QXD7;M0QX88;M0R025;M0R200;M0QZ79;M0QXV1	A0A024QZI4;Q8IV63;M0QYA8;M0R073;B4DGW1	Inactive serine/threonine-protein kinase VRK3	VRK3	26.43495	26.43916	26.43212	26.49387	26.37443	26.53546	-0.032513301	0.269387866
A0A024QZJ7;Q16204;Q15302;J7M8C2;J7MDF2	A0A024QZJ7;Q16204	Coiled-coil domain-containing protein 6	CCDC6	26.84278	26.56623	26.49282	26.51848	26.62408	26.5996	0.053223292	0.182265072
A0A024QZK8;P31942;Q53F48;B4DHY1;A0A024QZP1	A0A024QZK8;P31942;Q53F48;B4DHY1;A0A024QZP1	Heterogeneous nuclear ribonucleoprotein H3	HNRPH3;HNRNPH3	30.95407	31.0039	31.24224	31.19355	31.0183	31.224	-0.078545252	0.289663216
A0A024QZM6;P53992;B4DSN3;G5EA31;B7ZAY6;A0A0U1RR49;B4DQ22	A0A024QZM6;P53992;B4DSN3;G5EA31	Protein transport protein Sec24C	SEC24C	27.02158	27.16068	26.9982	27.17493	27.55866	27.04822	-0.200457891	0.548776466
A0A024QZN2;Q8WXX5	A0A024QZN2;Q8WXX5	DnaJ homolog subfamily C member 9	hCG_2024613;DNAJC9	29.20492	28.98767	29.11535	29.14217	29.20336	28.95455	0.00262324	0.008818876
A0A024QZN4;V9HWK2;P18206;B3KXA2;B4E3Q9;Q5JQ13;B4DKC9;B4DTM7;A0A096LPE1	A0A024QZN4;V9HWK2;P18206;B3KXA2;B4E3Q9;Q5JQ13	Vinculin	VCL;HEL114	29.96898	29.86464	29.75221	29.90813	30.03354	29.94615	-0.10066541	0.622011316
A0A024QZN6;Q9ULJ6;F6WR09;D4YW76;A0JLS3;A0A087WYE6;Q149N7;Q9H7J0	A0A024QZN6;Q9ULJ6;F6WR09;D4YW76	Zinc finger MIZ domain-containing protein 1	RAI17;ZMIZ1;TRAFIP10	26.46438	25.83786	26.61681	25.96523	26.08649	26.17106	0.232088089	0.399710705
A0A024QZN8;Q5GLZ8;A8K9U4;H0Y6K7;Q9Y4U2;D6RCL5	A0A024QZN8;Q5GLZ8;A8K9U4	Probable E3 ubiquitin-protein ligase HERC4	HERC4	25.85136	25.91002	25.82136	25.917	25.98044	25.74894	-0.02121226	0.103425302
A0A024QZP6;Q9P0M6;Q9HA11;Q5SQT3	A0A024QZP6;Q9P0M6;Q9HA11;Q5SQT3	Core histone macro-H2A;Core histone macro-H2A.2;Histone H2A	H2AFY2	28.38319	27.89348	28.02929	28.84065	28.3106	28.55083	-0.465376536	1.03266138
