Gene	primed 1	primed 2	primed 3	primed+PRC2i 1	primed+PRC2i 2	primed+PRC2i 3	naive 1	naive 2	naive 3	naive+PRC2i 1	naive+PRC2i 2	naive+PRC2i 3
CICP27	1.511889579	0.974662474	1.811144853	0	0	0.857651675	0	0	0	0.823048594	0	0
AL627309.6	4.47871826	4.474694987	4.278047792	5.35014777	4.69027308	5.350222448	2.868961421	3.274188258	3.33938848	3.119589346	3.641492616	2.85783274
AL627309.7	5.506017784	4.99484236	4.609947625	5.730805861	5.298445659	4.878873474	0	3.60323329	2.11003049	2.674456859	2.270981161	1.357447143
AL627309.5	4.41752612	4.273399977	2.943211968	4.385089921	4.413131252	3.888058123	2.257986488	0	1.410613601	2.489245621	3.485946329	2.044263835
FO538757.1	0	0	1.418354233	1.533447487	0	2.339260426	1.177010844	1.16299331	1.410613601	0	0	0
WASH9P	4.593826688	4.343665607	4.838007389	4.385089921	3.429824881	4.038228958	3.296831344	4.197630754	3.993359055	2.985912803	4.135990757	2.044263835
AL732372.2	5.591611965	6.197484138	5.79093207	5.854071109	5.952228529	5.854146341	4.011937249	3.60323329	3.452992364	3.459277632	2.88313614	3.374884031
RF00026	2.233785714	2.281171668	2.373512039	2.740777035	3.618314626	1.780838754	1.177010844	1.16299331	1.802297929	2.674456859	1.828228788	1.357447143
MTND1P23	1.917527128	1.961824861	2.119558269	0.961537214	1.324284239	2.086901014	2.257986488	3.988283377	3.216068406	2.674456859	3.909825551	1.357447143
MTND2P28	9.160603918	9.884090197	9.43435341	9.32728048	9.618629617	9.024406232	10.73104085	10.84645795	10.81548999	10.4004639	10.69401348	10.56498973
MTCO1P12	7.299023904	7.677037915	7.595238827	7.736158102	7.795069965	7.783085354	8.054340618	8.625966296	8.152811406	8.474005019	8.399739827	8.382722707
MTCO2P12	0.945545212	1.961824861	0.876882044	2.259885606	1.324284239	1.391862627	3.098700626	1.798436614	3.081213387	2.489245621	3.311580062	1.357447143
MTATP8P1	0	0	0	0	0	0	1.816458915	1.798436614	0.871253083	0.823048594	0	1.357447143
MTATP6P1	10.68018215	11.07430875	10.84634035	10.7502014	11.24679952	10.3951346	11.6474232	11.88108812	11.83618397	11.46142818	11.90219143	12.10957711
MTCO3P12	3.07164815	3.413027208	2.373512039	2.932001872	2.462643589	3.53071028	3.098700626	2.847210617	3.748328731	3.556793131	3.485946329	3.912728777
CICP3	0	0.974662474	0.876882044	0	0	0	1.816458915	0	0	2.489245621	1.186186261	0
AL669831.1	4.353623099	4.65131204	3.464253441	4.174159315	3.934405074	3.965096579	4.120519134	3.274188258	3.748328731	3.64813256	3.781888659	3.912728777
