Accession	naive_primed	primed_primed2i	naive_naive2i
A1BG	0.129719464	0.254591808	0.019503057
A1BG-AS1	0.19147076	0.43652081	0.893260069
A2M	0.038772113	0.828588834	0.876017888
A2M-AS1	0.128510326	0.489095591	0.521234282
A2ML1	2.69E-15	0.401914164	0.037760639
A2MP1	0.059003773	0.666360482	0.38384598
A4GALT	9.16E-276	0.480821631	0.009612412
AAAS	0.561322598	0.460008757	0.924332959
AACS	4.08E-21	0.666811351	0.648183715
AADAT	1.70E-12	0.439497644	0.67755891
AAGAB	0.000405595	0.795467414	0.933792798
AAK1	1.90E-07	0.93712263	0.563321307
AAMDC	0.124656781	0.573870249	0.729770599
AAMP	8.09E-12	0.935096172	0.004860792
AANAT	0.042070648	0.74526307	0.411927307
AAR2	0.074073636	0.127434124	0.732364967
AARD	0.001889501	0.914201528	0.161536648
AARS	2.82E-30	0.218070525	0.755750532
AARS2	1.42E-263	0.519830005	0.001902911
AARSD1	0.014023963	0.960380499	0.291520561
AASDH	0.122745252	0.464037423	0.988313453
AASDHPPT	2.52E-14	0.549373361	0.679110535
AASS	0.402667765	0.191048208	0.800888344
AATBC	0.195087495	0.973834733	0.97836394
AATF	0.090929941	0.278509487	0.261053975
AATK	4.00E-12	0.780291459	0.10206911
ABALON	0.064592539	0.949121719	0.535926142
ABAT	0.000235953	0.811976042	0.520230111
ABCA1	9.91E-15	0.704676073	0.012552469
ABCA11P	0.864663335	0.329114876	0.634193491
ABCA12	0.158899995	0.225309451	0.798803288
ABCA13	3.95E-17	0.97923686	0.02552454
ABCA17P	0.009435879	0.114192731	0.35870685
ABCA2	4.66E-11	0.745359663	0.000130155
ABCA3	2.40E-18	0.175979593	0.042727884
ABCA5	0.050863068	0.670778991	0.310008474
ABCA7	3.99E-14	0.820000379	2.25E-06
ABCA8	0.378313999	0.348205106	0.600501465
ABCB10	1.57E-94	0.378865073	0.090390521
ABCB5	0.062310717	0.493842895	0.57945417
ABCB6	0.522553549	0.951716877	0.56630689
ABCB7	1.38E-06	0.474587273	0.799393695
ABCB8	1.09E-177	0.108007838	0.062715709
ABCB9	0.011396971	0.162393652	0.697781996
ABCC1	2.64E-07	0.765526207	0.988004722
ABCC10	3.97E-62	0.952418582	0.000225658
ABCC11	0.705164766	0.248908958	0.073412351
ABCC12	0.000111822	0.218176916	0.208582974
ABCC2	4.93E-24	0.079601029	0.015833862
ABCC4	2.33E-09	0.791907053	0.081685526
ABCC5	2.21E-05	0.255264327	0.066310735
ABCC8	4.80E-13	0.120810503	0.520567298
ABCD1	3.81E-51	0.019478949	0.763030302
ABCD3	0.000123808	0.962813608	0.1314382
ABCD4	7.95E-14	0.510319539	0.127270526
ABCE1	0.620027465	0.025612915	0.0285639
ABCF1	0.685908436	0.139307291	0.110251549
ABCF2	1.76E-31	0.462220493	0.533635071
ABCF3	1.89E-42	0.982982745	0.013115413
ABCG1	0.002030527	0.380762579	0.934620397
ABCG2	0.075511607	0.582029059	0.359080526
ABCG4	1.03E-05	0.527147602	0.524404886
ABHD1	0.065832889	0.091595483	0.802858091
ABHD10	0.000876619	0.894157787	0.798633853
ABHD11	0.002689439	0.372130481	0.912006619
