Protein.IDs	Majority.protein.IDs	Protein.names	Gene.names	LFQ intensity Naive 1	LFQ intensity Naive 2	LFQ intensity Naive 3	LFQ intensity Primed 1	LFQ intensity Primed 2	LFQ intensity Primed 3	log2 fold change	p-value
A0A024QYV5;Q9H875;E9PC43;B4DQF4	A0A024QYV5;Q9H875	PRKR-interacting protein 1	PRKRIP1	25.22737	25.46504	25.65971	25.08327	24.89546	24.87385	0.499846141	1.615657386
A0A024QYX3;P98179	A0A024QYX3;P98179	RNA-binding protein 3	RBM3	29.25068	29.64648	29.79792	27.70286	27.17817	28.10909	1.901655833	2.420695751
A0A024QYY4;O00512;Q1JQ81;B4DNX8	A0A024QYY4;O00512;Q1JQ81	B-cell CLL/lymphoma 9 protein	BCL9	26.78419	26.8375	27.00067	26.01191	26.25436	26.35783	0.666085561	2.269029981
A0A024QYZ6;O60645;D6RB59;Q69YP2;Q6ZNJ2;H0Y995;B2RE06;D6RBR9	A0A024QYZ6;O60645;D6RB59;Q69YP2	Exocyst complex component 3	EXOC3;DKFZp762K123	22.83273	23.00819	23.00065	25.2488	26.15114	25.89277	-2.817047119	3.294840764
A0A024QZ09;Q96G74;H7BZQ3;A0A087WXV6	A0A024QZ09;Q96G74;H7BZQ3;A0A087WXV6	OTU domain-containing protein 5	OTUD5	24.2988	24.90545	24.63423	22.079	22.24307	22.32733	2.396359762	3.643039068
A0A024QZ20;B4DI23;Q13164;C9JUK9;S4R3I1;J3KT61;I3L0J8	A0A024QZ20;B4DI23;Q13164	Mitogen-activated protein kinase;Mitogen-activated protein kinase 7	MAPK7	21.7231	22.91918	21.91212	23.48038	23.526	23.73407	-1.395347595	1.67293812
A0A024QZ59;Q9BUZ4;A0A024QZ19;B4DUU9;F6SA91;A0A0C4DFM9;Q2KJU5;J9JIG0;Q2KJU6;Q2KJU3;C9JJ10;K7ER49;K7EJG7;J3QS94	A0A024QZ59;Q9BUZ4;A0A024QZ19;B4DUU9;F6SA91	TNF receptor-associated factor 4	TRAF4	25.84933	25.67842	25.45782	25.97607	25.38778	25.28118	0.113513947	0.176560146
A0A024QZ62;Q14254;Q6FG43;J3QLD9;E7EMK3;Q9BTI6;K7EKW9	A0A024QZ62;Q14254;Q6FG43;J3QLD9;E7EMK3;Q9BTI6	Flotillin-2	hCG_1998851;FLOT2	21.98468	21.9273	22.16873	26.7145	28.07725	27.60908	-5.440038681	3.744692201
A0A024QZ64;B7Z3K9;P09972;B7Z1N6;B7Z1Y2;A8MVZ9;B7Z3K7;J3KSV6;J3QKP5;K7EKH5;C9J8F3;B7Z1Z9;J3QKK1;B7Z1H6;B7Z1L5	A0A024QZ64;B7Z3K9;P09972;B7Z1N6;B7Z1Y2;A8MVZ9;B7Z3K7;J3KSV6;J3QKP5;K7EKH5;C9J8F3;B7Z1Z9	Fructose-bisphosphate aldolase;Fructose-bisphosphate aldolase C	ALDOC	27.17474	26.87572	26.72676	28.4377	28.50571	29.03425	-1.733476003	2.779982535
A0A024QZ68;Q9BZG1;C9JBG0;Q6NXT3;Q96PJ7;C9JY26;E7ES60;B4DNC0;K7EIF2;H7C0Y7;J3QLC6;V9GY61;K7EJW7	A0A024QZ68;Q9BZG1;C9JBG0;Q6NXT3;Q96PJ7;C9JY26;E7ES60;B4DNC0	Ras-related protein Rab-34	RAB34	24.01327	22.1821	24.15874	26.53995	27.09144	26.60908	-3.295454025	2.125123089
A0A024QZ70;Q7L7X3	A0A024QZ70;Q7L7X3	Serine/threonine-protein kinase TAO1	TAOK1	22.17598	24.15815	22.3564	25.11601	25.08347	25.13899	-2.215977351	1.604150778
A0A024QZD1;J3QQ67;Q07020;G3V203;Q0QEW2;H0YHA7;F8VUA6;F8VYV2;B4DDY5;A0A075B7A0;F8VXR6	A0A024QZD1;J3QQ67;Q07020;G3V203;Q0QEW2;H0YHA7;F8VUA6;F8VYV2;B4DDY5;A0A075B7A0	60S ribosomal protein L18	RPL18	30.44283	30.75764	30.75517	30.15303	29.97268	29.98332	0.6155351	2.16811016
A0A024QZD5;P08621;A8KAQ5;M0QYR1;B3KPV0;M0QX04;Q9UFS1	A0A024QZD5;P08621;A8KAQ5	U1 small nuclear ribonucleoprotein 70 kDa	SNRP70;SNRNP70	32.64594	32.42575	32.59237	32.11926	31.92628	31.94569	0.557608922	2.456286787
A0A024QZE2;A0A024QZD8;Q15562;H0YGS2;H0Y7B0;A0A0S2Z4F2;H0YCZ6;H0YG62	A0A024QZE2;A0A024QZD8;Q15562	Transcriptional enhancer factor TEF-4	TEAD2	23.35192	23.69869	23.22872	24.20113	23.96217	23.35864	-0.414203008	0.651589346
A0A024QZF1;P37198;M0QXN5;M0QX10;M0QYY0;M0QX13;M0QZL5;M0R1S1;M0QX64;M0R302;Q8WYU3	A0A024QZF1;P37198;M0QXN5	Nuclear pore glycoprotein p62	hCG_19665;NUP62	29.79439	29.96898	29.9327	30.2194	29.98264	29.99321	-0.166393916	0.822091876
A0A024QZH6;Q9H7N4	A0A024QZH6;Q9H7N4	"Splicing factor, arginine/serine-rich 19"	SR-A1;SCAF1	27.28604	26.95638	27.39387	27.51412	27.45427	27.32903	-0.220380783	0.706108397
