Majority.protein.IDs	Protein.names	gene_id_chep	Name in RNA-seq dataset
A0A024R163;O95758	Polypyrimidine tract-binding protein 3	ROD1;PTBP3	PTBP3
A0A024R1A3;P22314;B4DDE4;B4DL67	Ubiquitin-like modifier-activating enzyme 1	UBE1;UBA1	UBA1
A0A024R216;Q9Y3E1	Hepatoma-derived growth factor-related protein 3	HDGFRP3	HDGFL3
A0A024R2A8;Q96JG8	Melanoma-associated antigen D4	MAGED4	not in dataset
A0A024R395;P49959;F8W7U8;Q05D78	Double-strand break repair protein MRE11A	MRE11A	MRE11
A0A024R3H5;Q6ZUT1;E9PQL5;E9PSC8;E9PKA8	Uncharacterized protein C11orf57	C11orf57	NKAPD1
A0A024R5E8;B2R8A7;A0A024R597;Q92993;Q59EJ8;E9PJI1	Histone acetyltransferase;Histone acetyltransferase KAT5	HTATIP;KAT5	KAT5
A0A024R7V6;P61019;E9PKL7;A0A0A1HAW1	Ras-related protein Rab-2A	RAB2;RAB2A	not in dataset
A0A024R838;Q8N0T1;A0A087WWE7	Uncharacterized protein C8orf59	hCG_20884;C8orf59	RBIS
A0A024R8V0;A0A0S2Z5A5;A0A024R8Q0;A0A0S2Z5W9	NA	Sep-09	SEPTIN9
A0A024R983;P10155;B3KN94	60 kDa SS-A/Ro ribonucleoprotein	TROVE2	RO60
A0A024R9M9;Q99653;H0YLY7;H0YKE7;F5GX29;B4DSB5	Calcineurin B homologous protein 1	CHP;CHP1	CHP1
A0A024RAC6;Q14241	Transcription elongation factor B polypeptide 3	TCEB3	ELOA
A0A024RB09;P61020;Q6FI54;F8VUA5	Ras-related protein Rab-5B	RAB5B	not in dataset
A0A024RBR1;P30622;Q59GJ4;F5H0N7	CAP-Gly domain-containing linker protein 1	RSN;CLIP1	CLIP1
A0A024RCK7;Q15776;Q59HG5	Zinc finger protein with KRAB and SCAN domains 8	ZNF192;ZKSCAN8	ZKSCAN8
A0A024RCR1;A0A024RCP5;Q9HCM9;Q59G25	E3 ubiquitin-protein ligase TRIM39	TRIM39	not in dataset
A0A024RD01;Q7Z7C8;A0A0A0MRR3	Transcription initiation factor TFIID subunit 8	TBN;TAF8	TAF8
A0A075B6H4;B4DMS0	NA	CSRP2BP	KAT14
A0A087WWL5;Q86XI8	Uncharacterized protein C19orf68	C19orf68	ZSWIM9
A0A087WYP2;Q8IZQ5;H0YE28	Selenoprotein H	C11orf31;SELH	SELENOH
A0A087WYU2;Q96S19;H3BS73;H3BNB2;H3BRT2;H3BQ55;H3BNT3;H3BMF3	UPF0585 protein C16orf13	C16orf13	METTL22
A0A087X211;Q8TCG1	Protein CIP2A	KIAA1524	CIP2A
A0A0A0MTR7;A0A0A0MTC1;Q63HN8	E3 ubiquitin-protein ligase RNF213	RNF213	not in dataset
A0A0A6YYL4;P57737;B3KSY4;B3KUH7	Coronin;Coronin-7	CORO7-PAM16;CORO7;hCG_1787779	not in dataset
A0A0A8K8C0;Q9H6W3	Bifunctional lysine-specific demethylase and histidyl-hydroxylase NO66	URLC2;NO66	RIOX1
A0A0C4DFM7;Q5TAX3;E9PKY2;E9PKX1	Terminal uridylyltransferase 4	ZCCHC11	TUT4
A0A0J9YWL0;Q9Y4K1;B3KWJ0	Absent in melanoma 1 protein	AIM1	CRYBG1
A0A0K0K1K7;O95336;M0R1L2;M0R0U3;M0R261	6-phosphogluconolactonase	PGLS	not in dataset
A0A0S2Z392;P25098;A0A0S2Z3I6;Q59F73;E9PRV7	Beta-adrenergic receptor kinase 1	ADRBK1	GRK2
A0A0S2Z5C7;I3L419;A0A0S2Z5F0;Q9BSJ6;I3L156	Protein FAM64A	FAM64A	PIMREG
A0A0U1RQL9;A0A0U1RQS5;B3KNS4;A0A0U1RQV1;Q6ZRD3;Q96A10;A0A0U1RQN3	NA	hCG_2043597	ERVK3-1
A0A140VJN1;B2RTQ5;Q5VZK9;A0A0U1RQQ1	Leucine-rich repeat-containing protein 16A	LRRC16A	CARMIL1
A0A140VJQ7;O43422;Q2YDB3;B4DS64	52 kDa repressor of the inhibitor of the protein kinase	PRKRIR	THAP12
A0A1B0GUA3;Q96EK5	KIF1-binding protein	KIAA1279	KIF1BP
A0A1B0GUH9;A0A1P0AZG4;A0PJI9	NA	C10orf12	LCOR
A0A1B0GUN3;Q6PJP7	NA	LOC642031	not in dataset
A0A1P7ZIN0;P55196;J3KN01;Q5TIG5	Afadin	MLLT4	AFDN
A0A1W2PPI5;Q5JSJ4;B9EIK3;Q8N8M2	Protein DDX26B	DDX26B	INTS6L
A0MZ66	Shootin-1	KIAA1598	SHTN1
A2AJT9;H7BXX2;B7ZLM9;F2Z385	Uncharacterized protein CXorf23	CXorf23	BCLAF3
A8K0P8;Q68CQ4	Digestive organ expansion factor homolog	DIEXF	UTP25
A8K6Q9;A0A024RDV9;Q8N0X7;B4DXT5;B3KML8;B3KMI3	Spartin	SPG20	SPART
A8MTY9;O14972;A8MY26;B7Z606;O60768	Down syndrome critical region protein 3	DSCR3	VPS26C
B0UZZ8;O15213;A0A1U9X8U7;A0A1U9X8U3;B4DP15;A0A1U9X8W1;B4DNI0;A8K9A1;A8K806;A0A140T9L0;A0A0G2JJL1;H0Y6G3	WD repeat-containing protein 46	C6orf11;WDR46	WDR46
B0YJ76;A0A024RAQ3;P00374;B4DM58	Dihydrofolate reductase	DYR;DHFR	DHFR
B1AKJ5;O43847;B4DRI0;Q6UUU9;G3V1R5;Q96L67;F5H7V1;B4DYV0	Nardilysin	NRD1	NRDC
B2R6S5;P30085;B4DDL4;Q5T0D2;B4DFW6	UMP-CMP kinase	CMPK;CMPK1	CMPK1
B2RTX8;Q7Z5K2;A8K273	Wings apart-like protein homolog	WAPAL	WAPL
B3KT69;Q7Z3J2;F5H7K1;E7EWW0;C9J7I2;H3BVG8;H3BV68	UPF0505 protein C16orf62	C16orf62	VPS35L
B4DDB6;B4E3E6	NA	HNRPA3	HNRNPA3
B4DFJ1;Q9BSI4;H0YKG7	TERF1-interacting nuclear factor 2	TINF2	not in dataset
B4DJL6;Q96SY0;H3BRY6;B4DWZ3	von Willebrand factor A domain-containing protein 9	VWA9	INTS14
B4DPZ5;B4DNU9;Q6NZI2;B3KRY5	Polymerase I and transcript release factor	PTRF	CAVIN1
B4DTA9;A8K5C2;D3DUL8;Q6P9B6	TLD domain-containing protein 1	KIAA1609;TLDC1	MEAK7
B4DTX5;Q6MZY5;A0A0U1RQI5;B4E264;B4DH45;B7Z9B7	NA	DKFZp686N08224	not in dataset
B4DW13;Q6YP21;A0A0A0MRN7	Kynurenine--oxoglutarate transaminase 3	hCG_23341;CCBL2	KYAT3
B4DXL5;A0A0A0MQR2;Q9BY42;B2RB99;A2A2L5;A2A2L6	Protein RTF2 homolog	RTFDC1	RTF2
B4E0K0;Q5JRG1;H7BYF2;Q9BVL2;B3KW23	Nucleoporin p58/p45	NUPL1	NUP58
B4E2X3;C4B4C6;Q8N6R0;B3KNI0;B3KNM8	Methyltransferase-like protein 13	feat;METTL13	EEF1AKNMT
B5BUA4;Q5FBB7;A0A024R2J4	Shugoshin-like 1	SGOL1	SGO1
B7Z1Q2;Q59GS9;B7Z2L1;O60861;A2JNH2	Growth arrest-specific protein 7	GAS7;MLL/GAS7	not in dataset
B7Z287;Q9NP50	Protein FAM60A	FAM60A	SINHCAF
B7Z686;B1AHR1;A8K1X2;Q9UH03;B1AHR2	Neuronal-specific septin-3	Sep-03	SEPT3
B7ZKT9;A0A087X256;Q2M389	WASH complex subunit 7	KIAA1033	WASHC4
B7ZME8;F8W7U3;E7ESD2;Q641Q2;A0A087WYF6;Q9NVB8	WASH complex subunit FAM21A	FAM21A	WASHC2C
D3DR32;Q96Q89	Kinesin-like protein;Kinesin-like protein KIF20B	MPHOSPH1;KIF20B	KIF20B
D3DSW3;O94903;A8K520;B3KMP6;E5RFX7;E5RG77	Proline synthase co-transcribed bacterial homolog protein	PROSC	PLPBP
D4Q8H0;A8K710;Q9NYL2;C9J3F7;B4DQ47	Mitogen-activated protein kinase kinase kinase MLT	pk;ZAK	not in dataset
D5MQE1;B2RE59;Q92600	Cell differentiation protein RCD1 homolog	RQCD1	CNOT9
D6RAF2;Q6PIY7	Poly(A) RNA polymerase GLD2	PAPD4	TENT2
D6RGI3;D6RER5;Q9NVA2;D6RDU5;H0Y961;Q96KC0	Septin-11	Sep-11	SEPT11
E1NZA1;Q92616;A0A024RBS1	Translational activator GCN1	PRIC295;GCN1L1	GCN1
E5RHG8;A0A024R7Y5;Q15369;R4GMY8	Transcription elongation factor B polypeptide 1	TCEB1	ELOC
E9PL57;F8VSA6;E9PS38;S4R3E9;Q15843	NEDD8	NEDD8-MDP1;NEDD8	not in dataset
G1UI22;A8MQ02	NA	MLLT4	AFDN
G4U4J3;H3BQM0;Q8NDF8;Q53F79;A0A024R6Q7;E9PC61;Q5EBM7	Non-canonical poly(A) RNA polymerase PAPD5	PAPD5	TENT4B
G8XV63;P57076;H7C2R6;H7BZW1;C9JX57;B4DV81;D3DSE6;C9J818;F8VZ95	UPF0769 protein C21orf59	C21orf59	CFAP298
H6VRG2	NA	KRT1	not in dataset
I3L2L5;A0A024R8R5;I3L317;I3L4Q0;C9JLW8	Protein FAM195B	FAM195B;hCG_1818442	MCRIP1
I4AY87;P14174	Macrophage migration inhibitory factor	MIF	not in dataset
J3KNX4;D6W5Y8;Q2TAK8;A0A0D9SGJ8	PWWP domain-containing protein MUM1	MUM1	not in dataset
M0QY97;Q9UPT8	Zinc finger CCCH domain-containing protein 4	ZC3H4	not in dataset
N0E4C7;Q5SRQ6;P67870;A0A1U9X7J2;Q5SRQ3;N0E466;N0E472;A0A0G2JM12	Casein kinase II subunit beta	CSNK2B;CSNK2B-LY6G5B-1181;CSNK2B-LY6G5B--991	not in dataset
O00488;A9J4F5	Zinc finger protein 593	ZNF593	not in dataset
O15013;H0YAN8	Rho guanine nucleotide exchange factor 10	ARHGEF10	not in dataset
O43709;Q75ME3;F8WD87;F8WD67;E9PCQ7;B4DK37	Probable 18S rRNA (guanine-N(7))-methyltransferase	WBSCR22	BUD23
O60502;B3KMK2	Protein O-GlcNAcase	MGEA5	OGA
O75113;B3KMA4	NEDD4-binding protein 1	N4BP1	not in dataset
O94826;B4DZ87	Mitochondrial import receptor subunit TOM70	TOMM70A	TOMM70
O95671;B4DRF1;B3KM43;B4DN81	N-acetylserotonin O-methyltransferase-like protein	ASMTL	not in dataset
O96006;A0A024RBU4	Zinc finger BED domain-containing protein 1	ZBED1;hCG_1981838	not in dataset
O96028	Histone-lysine N-methyltransferase NSD2	WHSC1	NSD2
P08240;Q6IAX9;A0A024R3M0	Signal recognition particle receptor subunit alpha	SRPR	SRPRA
P08708;H0YN88;A0A075B716	40S ribosomal protein S17	RPS17	not in dataset
P0DMV8;P0DMV9;A0A0G2JIW1;A8K5I0;A0A1U9X7W4;Q59EJ3;B4DWK5;B4DI39;B4DNT8;B4DFN9;B4E388;B4E1S9;B4DVU9;V9GZ37;B3KTT5;B4DNX1;B4E1T6	Heat shock 70 kDa protein 1A;Heat shock 70 kDa protein 1B	HSPA1A;HSPA1B;HEL-S-103	not in dataset
P10696	"Alkaline phosphatase, placental-like"	ALPPL2	ALPG
P30711;A0A0G2JRQ5	Glutathione S-transferase theta-1	GSTT1	not in dataset
P42285;A8K6I4;B4E3M6	Superkiller viralicidic activity 2-like 2	SKIV2L2	MTREX
P48047;Q53HH2	"ATP synthase subunit O, mitochondrial"	ATP5O	ATP5PO
P55769;Q6FHM6;B1AHD1	"NHP2-like protein 1;NHP2-like protein 1, N-terminally processed"	NHP2L1	SNU13
P63244;E9KL35;J3KPE3;D6RAC2;D6REE5;H0YAF8;H0Y8W2;D6RHH4;H0YAM7;D6R9L0;D6R9Z1;B4DVD2;D6RFX4	"Guanine nucleotide-binding protein subunit beta-2-like 1;Guanine nucleotide-binding protein subunit beta-2-like 1, N-terminally processed"	GNB2L1	RACK1
P81605	Dermcidin;Survival-promoting peptide;DCD-1	DCD	not in dataset
Q02040;X6RAJ1;Q05DA9	A-kinase anchor protein 17A	AKAP17A;SFRS17A	not in dataset
Q02241;H7BYN4	Kinesin-like protein KIF23;Kinesin-like protein	KIF23	not in dataset
Q08117;K7ELE3	Amino-terminal enhancer of split	AES	TLE5
Q0QEN7;V9HW31;P06576;H0YH81;F8W079	"ATP synthase subunit beta;ATP synthase subunit beta, mitochondrial"	ATP5B;HEL-S-271	ATP5F1B
Q13838;A0A024RCM3;Q5STU3;A0A0G2JJZ9;F6WLT2;B4DP52;A0A140T9X3;F6TRA5;A0A0A0MT12;F6S4E6;A0A140T996;Q59G92;A0A140T9X9;A0A140TA18;F6UJC5	Spliceosome RNA helicase DDX39B	DDX39B;hCG_2005638	not in dataset
Q14593	Zinc finger protein 273	ZNF273	not in dataset
Q15019;B5MCX3;C9J2Q4	Septin-2	Sep-02	SEPT2
Q15257;B4DZF8;A6PVN5;Q5T949;Q5T948;F6WIT2;B4DLX5;A6PVN9	Serine/threonine-protein phosphatase 2A activator	PPP2R4	PTPA
Q15370;B8ZZU8;I3L0M9;A0A0B4J296	Transcription elongation factor B polypeptide 2	TCEB2	ELOB
Q15397	Pumilio domain-containing protein KIAA0020	KIAA0020	PUM3
Q15532;J3QQM2;A8K0E5;Q4VAX0;A0A024RC40;J3QQW2;J3KT74;Q4VAX2;A4PIW0;X6R3J2;J3QS72;J3KRP6;A4PIV8;A4PIV9;A4PIV7;F5GWN1;Q6FGL9;Q8TDQ9	Protein SSXT	SS18;SYT-SSX2;SYT-SSX1;SYT	SYT
