Histone mark	ENSHM Naive vs Primed	t2iLGo Naive vs Primed	PXGL Naive vs Primed	PXGL Naive vs Naive+PRC2i	PXGL Primed vs Primed+PRC2i
H3K79me1	0.669033609	0.456928859	0.000354299	0.539186994	0.621651731
H3K79me2	0.008383395	0.059432341	3.9431E-06	0.159554754	0.546763951
H3K79Hib	0.328562776	N/A	N/A	N/A	N/A
H3K79Ac	N/A	0.716120399	N/A	N/A	N/A
H3K79me3	N/A	N/A	N/A	N/A	N/A
H3K79	0.223127862	0.098154188	9.30546E-05	0.412232051	0.610834049
H3K18me1	N/A	0.499921104	0.000384883	0.390125318	0.010834271
H3K18Ac	0.332158505	0.227637407	6.68279E-05	0.653811127	0.673728449
H3K18	0.332158505	0.168768998	3.40838E-05	0.721267767	0.720181468
H3K23me1	N/A	0.172939863	N/A	N/A	N/A
H3K23Ac	0.748841588	0.581620804	0.005395966	0.498000783	0.594418481
H3K27me2	0.000433913	0.000696811	3.28167E-10	1.26414E-11	3.97729E-05
H3K27Ac	0.121487168	0.00179649	1.62266E-08	6.8891E-05	0.09209748
H3K27me1	0.001510233	0.007011266	1.05714E-05	0.000574693	1.14649E-10
H3K27me3	0.002295311	0.000178396	1.45837E-11	8.64205E-13	0.000376474
H3K27	6.75336E-06	0.027274116	2.19438E-10	9.09368E-13	7.13324E-10
H3K36me2	0.890658722	0.002797075	4.98852E-12	2.99531E-08	0.256418453
H3K36me1	6.38355E-05	0.057046345	1.2078E-06	2.86876E-05	0.020793966
H3K36Hib	1.3025E-05	N/A	N/A	N/A	N/A
H3K36Cr	1.3025E-05	N/A	N/A	N/A	N/A
H31K36me3	N/A	0.103521987	N/A	N/A	N/A
H3K36	0.013498552	0.000190451	3.52026E-08	1.51976E-06	0.106923384
H3K37me2	N/A	N/A	0.00498002	0.077070073	0.089096158
H3R40me1	0.713700422	N/A	N/A	N/A	N/A
H3R40me2	1.3025E-05	N/A	2.04979E-10	5.89804E-09	0.001953959
H3.3K27me2	0.045337749	0.068741065	1.22259E-06	4.8318E-07	0.296298494
H3.3K27Ac	0.062694904	0.009996583	0.096418106	0.028745608	0.291273847
H3.3K27me1	0.025959811	0.01406938	0.003795198	3.55484E-06	2.11983E-06
H3.3K27Cr	0.000419152	N/A	N/A	N/A	N/A
H33K27me3	0.020485358	0.00029894	N/A	N/A	N/A
H3.3K27	0.002225914	0.008020579	0.227590972	6.71274E-10	6.63287E-07
H3.3K36me2	0.000903949	0.003274359	3.15773E-07	2.31094E-06	0.115086122
H3.3K36me1	0.24494703	0.038456839	0.087310096	1.79041E-05	0.007482258
H3.3K36Cr	0.110637538	N/A	N/A	N/A	N/A
H33K36me3	N/A	0.352926556	N/A	N/A	N/A
H3.3K36	0.027214649	0.002528745	0.04268723	0.001268492	0.109441101
H3.3K37me2	N/A	N/A	8.54655E-09	8.83165E-10	0.950596518
H3.3K37me1	N/A	N/A	0.000893589	0.000502112	0.094452739
H3.3K37Hib	0.110637538	N/A	N/A	N/A	N/A
H3.3K37	0.110637538	N/A	1.51517E-06	1.72956E-05	0.102517406
H3.3R40me2	0.110637538	N/A	0.004147391	1.35779E-06	0.005617505
H3K9me2	0.407574792	0.264186224	0.649624542	0.694470721	0.729001334
H3K9Ac	0.722850101	0.021253169	0.248792982	0.444224898	0.354573006
H3K9me1	0.536163192	0.426003467	0.429938795	0.568720922	0.170407266
H3K9me3	0.428395782	0.659495198	0.75838888	0.282439893	0.546897629
H3K9	0.087127206	0.509612664	0.655325817	0.431536041	0.331160829
H3S10P	N/A	N/A	0.091663729	0.188846771	0.103715998
H3K14Ac	0.467538539	0.007118853	0.637637205	0.783165165	0.350504611
H3K56me1	N/A	0.013855885	N/A	N/A	N/A
H3K56me2	N/A	0.142443909	N/A	N/A	N/A
H3K56me3	N/A	0.434041913	N/A	N/A	N/A
H3K56Ac	N/A	0.280486722	N/A	N/A	N/A
H3K4me1	N/A	0.154231829	0.671753387	0.541310084	0.782553136
H3K4Ac	N/A	0.09934899	0.132079216	0.95566257	0.714683189
H3K4me2	N/A	0.088406587	N/A	N/A	N/A
H3K4me3	N/A	0.117001529	N/A	N/A	N/A
H3K4	N/A	0.032400113	0.682669454	0.538366566	0.783070361
H3M120ox	N/A	N/A	0.455213962	0.347995216	0.341121195
H3K122Ac	N/A	0.7290146	N/A	N/A	N/A
H3Q125deam	N/A	N/A	0.247995066	0.592265199	0.423980653
H4K5Ac	0.388688672	0.052961968	0.000105793	0.200523744	0.226722409
H4K5me1	0.123544484	N/A	0.124103621	0.799073754	0.885743995
H4K5me2	0.465899971	N/A	N/A	N/A	N/A
H4K5	0.370284087	N/A	0.000291364	0.236327195	0.217977659
H4K8Ac	0.002673314	0.060266425	0.000209713	0.019738457	0.33584016
H4K8me2	0.774857675	N/A	N/A	N/A	N/A
H4K8me3	0.653068434	N/A	N/A	N/A	N/A
H4K8Cr	0.123544484	N/A	N/A	N/A	N/A
H4K8me1	0.698898903	N/A	N/A	N/A	N/A
H4K8	0.455249871	N/A	0.000217334	0.023874297	0.331972275
H4K12Ac	1.54736E-05	0.576193047	1.92473E-06	3.8094E-05	0.215405399
H4K12Cr	0.519339699	N/A	N/A	N/A	N/A
H4K12me1	0.498619394	N/A	N/A	N/A	N/A
H4K16Ac	5.34041E-06	0.001196808	3.69849E-09	4.91628E-06	0.127366468
H4K16Hib	0.519339699	N/A	N/A	N/A	N/A
H4K16me1	0.865198353	N/A	N/A	N/A	N/A
H4R17me1	0.81535033	N/A	N/A	N/A	N/A
H4R19me1	0.865198353	N/A	N/A	N/A	N/A
H4K59me2	0.78354134	N/A	N/A	N/A	N/A
H4N64deam	0.774293543	N/A	0.574800528	0.912651445	0.480381502
H4M84ox	N/A	N/A	0.372233703	0.40612903	0.435872576
H4K20me1	0.00017464	0.025420672	0.141653354	0.323104187	0.420474732
H4K20me2	0.000741375	0.493884486	0.164490437	0.876653248	0.505717068
H4K20Ac	0.150486072	0.466459884	0.281559478	0.040994644	0.825869186
H4K20me3	N/A	0.549109317	N/A	N/A	N/A
H4K20	0.022446357	0.156648007	0.185012583	0.882177484	0.730738388
H4K31me2	0.487789095	N/A	0.944141389	0.164186443	0.965132692
H4K35me2	0.487789095	N/A	N/A	N/A	N/A
