Protein.IDs	Majority.protein.IDs	Protein.names	Gene.names	LFQ intensity Primed 1	LFQ intensity Primed 2	LFQ intensity Primed 3	LFQ intensity Primed+PRC2i 1	LFQ intensity Primed+PRC2i 2	LFQ intensity Primed+PRC2i 3	log2 fold change	p-value
A0A024QYV5;Q9H875;E9PC43;B4DQF4	A0A024QYV5;Q9H875	PRKR-interacting protein 1	PRKRIP1	25.08327	24.89546	24.87385	24.44468	24.84776	25.37096	0.063057582	0.080584733
A0A024QYX3;P98179	A0A024QYX3;P98179	RNA-binding protein 3	RBM3	27.70286	27.17817	28.10909	27.97542	27.42478	27.58398	0.001977285	0.002047872
A0A024QYY4;O00512;Q1JQ81;B4DNX8	A0A024QYY4;O00512;Q1JQ81	B-cell CLL/lymphoma 9 protein	BCL9	26.01191	26.25436	26.35783	26.44514	26.3772	26.41786	-0.205365499	0.918805111
A0A024QYZ6;O60645;D6RB59;Q69YP2;Q6ZNJ2;H0Y995;B2RE06;D6RBR9	A0A024QYZ6;O60645;D6RB59;Q69YP2	Exocyst complex component 3	EXOC3;DKFZp762K123	25.2488	26.15114	25.89277	25.8859	26.38778	26.41548	-0.465483348	0.661588718
A0A024QZ20;B4DI23;Q13164;C9JUK9;S4R3I1;J3KT61;I3L0J8	A0A024QZ20;B4DI23;Q13164	Mitogen-activated protein kinase;Mitogen-activated protein kinase 7	MAPK7	23.48038	23.526	23.73407	23.39375	23.75226	23.55133	0.014366786	0.037523714
A0A024QZ59;Q9BUZ4;A0A024QZ19;B4DUU9;F6SA91;A0A0C4DFM9;Q2KJU5;J9JIG0;Q2KJU6;Q2KJU3;C9JJ10;K7ER49;K7EJG7;J3QS94	A0A024QZ59;Q9BUZ4;A0A024QZ19;B4DUU9;F6SA91	TNF receptor-associated factor 4	TRAF4	25.97607	25.38778	25.28118	25.727	25.42458	25.30821	0.061752319	0.087927049
A0A024QZ62;Q14254;Q6FG43;J3QLD9;E7EMK3;Q9BTI6;K7EKW9	A0A024QZ62;Q14254;Q6FG43;J3QLD9;E7EMK3;Q9BTI6	Flotillin-2	hCG_1998851;FLOT2	26.7145	28.07725	27.60908	26.74804	28.23476	28.61628	-0.399418513	0.224140121
A0A024QZ64;B7Z3K9;P09972;B7Z1N6;B7Z1Y2;A8MVZ9;B7Z3K7;J3KSV6;J3QKP5;K7EKH5;C9J8F3;B7Z1Z9;J3QKK1;B7Z1H6;B7Z1L5	A0A024QZ64;B7Z3K9;P09972;B7Z1N6;B7Z1Y2;A8MVZ9;B7Z3K7;J3KSV6;J3QKP5;K7EKH5;C9J8F3;B7Z1Z9	Fructose-bisphosphate aldolase;Fructose-bisphosphate aldolase C	ALDOC	28.4377	28.50571	29.03425	28.31034	28.56928	29.03522	0.020938238	0.024695333
A0A024QZ68;Q9BZG1;C9JBG0;Q6NXT3;Q96PJ7;C9JY26;E7ES60;B4DNC0;K7EIF2;H7C0Y7;J3QLC6;V9GY61;K7EJW7	A0A024QZ68;Q9BZG1;C9JBG0;Q6NXT3;Q96PJ7;C9JY26;E7ES60;B4DNC0	Ras-related protein Rab-34	RAB34	26.53995	27.09144	26.60908	26.32074	26.68405	26.8783	0.119126002	0.191519123
A0A024QZ70;Q7L7X3	A0A024QZ70;Q7L7X3	Serine/threonine-protein kinase TAO1	TAOK1	25.11601	25.08347	25.13899	24.46688	24.83957	25.15449	0.292512258	0.665046465
A0A024QZA8;P29317;B4DL04;Q96HF4	A0A024QZA8;P29317;B4DL04;Q96HF4	Receptor protein-tyrosine kinase;Ephrin type-A receptor 2	EPHA2	23.21501	23.79709	24.3334	23.55028	24.13649	24.04335	-0.128205617	0.126771547
A0A024QZD1;J3QQ67;Q07020;G3V203;Q0QEW2;H0YHA7;F8VUA6;F8VYV2;B4DDY5;A0A075B7A0;F8VXR6	A0A024QZD1;J3QQ67;Q07020;G3V203;Q0QEW2;H0YHA7;F8VUA6;F8VYV2;B4DDY5;A0A075B7A0	60S ribosomal protein L18	RPL18	30.15303	29.97268	29.98332	30.04427	29.60378	29.95338	0.169201533	0.505562075
A0A024QZD5;P08621;A8KAQ5;M0QYR1;B3KPV0;M0QX04;Q9UFS1	A0A024QZD5;P08621;A8KAQ5	U1 small nuclear ribonucleoprotein 70 kDa	SNRP70;SNRNP70	32.11926	31.92628	31.94569	32.18006	31.98865	31.93779	-0.038421631	0.149191867
A0A024QZE2;A0A024QZD8;Q15562;H0YGS2;H0Y7B0;A0A0S2Z4F2;H0YCZ6;H0YG62	A0A024QZE2;A0A024QZD8;Q15562	Transcriptional enhancer factor TEF-4	TEAD2	24.20113	23.96217	23.35864	23.95287	23.57196	23.73024	0.08895429	0.118232812
